cityCode,cityName,countryCode,timezone,cityLat,cityLong
CHESSINGTON,Chessington,GB,Europe/London,51.3491521,-0.3151182
SHARM_EL_SHEIKH,Sharm el Sheikh,EG,Africa/Cairo,27.9161094,34.3305424
MARMARIS,Marmaris,TR,Europe/Istanbul,36.854936,28.2708779
ZANTE,Zante,GR,Europe/Athens,37.7871842,20.8997482
BOURNEMOUTH,Bournemouth,GB,Europe/London,50.7188993,-1.880991
CHESTER,Chester,US,America/New_York,39.8495565,-75.3557466
NEWCASTLE,Newcastle,GB,Europe/London,54.9781601,-1.6175194
CAPE_TOWN,Cape Town,ZA,Africa/Johannesburg,-33.92522,18.42385
MILAN,Milan,IT,Europe/Rome,45.4648256,9.1895699
SORRENTO,Sorrento,IT,Europe/Rome,40.6261026,14.3757311
TURIN,Turin,IT,Europe/Rome,45.0703301,7.6868886
VERONA,Verona,IT,Europe/Rome,45.4383662,10.9912728
CORK,Cork,IE,Europe/Dublin,51.8966071,-8.4872046
WARSAW,Warsaw,PL,Europe/Warsaw,52.2296834,21.0123188
SIDE,Side,TR,Europe/Istanbul,36.7771597,31.3981818
MADEIRA,Madeira,PT,Europe/Lisbon,32.745703,-16.9631805
SANTORINI,Santorini,GR,Europe/Athens,36.3932433,25.461733
SALZBURG,Salzburg,AT,Europe/Vienna,47.809492,13.0550241
NAPA_VALLEY,Napa Valley,US,America/Los_Angeles,38.5040032,-122.2628721
BODRUM,Bodrum,TR,Europe/Istanbul,37.0345378,27.4307758
KUSADASI,Kusadasi,TR,Europe/Istanbul,37.8593603,27.2612411
BARBADOS,Barbados,BB,America/Barbados,13.1932534,-59.5444816
KAUAI,Kauai,US,Pacific/Honolulu,22.1319129,-159.4435122
KOH_SAMUI,Koh Samui,TH,Asia/Bangkok,9.508841199999999,100.0149594
BANGKOK,Bangkok,TH,Asia/Bangkok,13.7560455,100.5018777
PHUKET,Phuket,TH,Asia/Bangkok,7.9463002,98.3421035
CHIANG_MAI,Chiang Mai,TH,Asia/Bangkok,18.7059232,98.9821135
KRABI,Krabi,TH,Asia/Bangkok,8.0861514,98.90625910000001
COSTA_DEL_SOL,Costa Del Sol,ES,Europe/Madrid,36.5235602,-5.0426986
CAMBRIDGE,Cambridge,GB,Europe/London,52.2034482,0.1162526
NIAGARA_FALLS,Niagara Falls,US,America/New_York,43.096314,-79.038067
HAWAII_(KOA),Hawaii (Koa),US,Pacific/Honolulu,21.2812845,-157.8352005
MAUI,Maui,US,Pacific/Honolulu,20.7982977,-156.3318845
PAPHOS,Paphos,CY,Asia/Nicosia,34.7720903,32.4295275
MYRTLE_BEACH,Myrtle Beach,US,America/New_York,33.6888999,-78.887007
LOS_CABOS,Los Cabos,MX,America/Mazatlan,23.0796014,-109.7129922
LAKE_GARDA,Lake Garda,IT,Europe/Rome,45.6314376,10.6123411
ISTRIA,Istria,HR,Europe/Zagreb,45.2753317,13.8905465
MAURITIUS,Mauritius,MU,Indian/Mauritius,-20.3487725,57.54946440000001
ANTIGUA,Antigua,AG,America/Antigua,17.0752127,-61.81679579999999
HANOI,Hanoi,VN,Asia/Saigon,21.027685,105.834175
HO_CHI_MINH_CITY,Ho Chi Minh City,VN,Asia/Saigon,10.8233975,106.6299805
HOI_AN,Hoi An,VN,Asia/Saigon,15.8807558,108.3382151
DALLAS,Dallas,US,America/Chicago,32.7765299,-96.79740609999999
MARRAKESH,Marrakesh,MA,Africa/Casablanca,31.62942,-7.980697699999999
BATTERSEA,Battersea,GB,Europe/London,51.4638207,-0.1680177
PORTSTEWART,Portstewart,GB,Europe/London,55.1868703,-6.717116499999999
INVERNESS,Inverness,GB,Europe/London,57.4778711,-4.2246893
CORDOBA,Cordoba,ES,Europe/Madrid,37.8881707,-4.7793835
BERGEN,Bergen,NO,Europe/Oslo,60.3912181,5.322114099999999
MOSCOW,Moscow,RU,Europe/Moscow,55.75565599999999,37.617985
JOHANNESBURG,Johannesburg,ZA,Africa/Johannesburg,-26.204067,28.0470749
